Beijing,Tianjin,Hebei,Shanxi,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang
101,110,144,147,100,88,73,85,69,85,77,78,52,76,75,83,91,105,60,57,44,87,77,82,58,52,129,147,103,75,125
113,115,137,129,111,114,76,93,75,95,85,78,63,84,99,85,100,109,63,57,34,96,83,75,57,59,120,114,127,104,138
112,98,124,120,93,116,76,92,79,98,89,83,61,83,91,97,97,99,68,58,31,102,87,65,55,55,115,147,92,83,118
98,94,115,115,83,96,74,86,73,85,88,76,64,75,100,78,91,93,76,60,30,102,84,65,67,55,112,115,98,82,86
104,84,89,112,70,95,73,82,75,85,84,80,61,75,101,80,93,96,78,65,33,97,83,68,69,45,95,114,89,78,94
99,83,92,97,72,85,74,77,69,80,80,72,59,69,90,80,84,88,69,59,39,85,89,67,67,59,87,109,82,72,90
110,85,98,99,75,84,75,77,67,80,80,74,59,69,83,81,86,83,70,59,39,81,87,69,71,54,82,129,93,75,112
100,75,89,90,73,85,75,77,69,79,79,83,56,67,86,79,87,79,64,58,41,79,81,68,65,51,75,90,83,72,99
88,74,84,77,60,85,74,77,67,75,80,93,58,67,90,74,81,74,60,49,41,78,81,68,58,45,79,94,84,69,104
85,78,77,82,63,81,67,75,64,74,73,81,54,66,87,75,78,70,58,45,37,77,81,64,58,46,80,101,96,72,102
86,76,75,73,60,77,69,76,63,81,74,81,59,70,85,82,78,65,58,57,38,75,77,63,61,44,74,109,89,72,95
81,73,76,70,65,75,71,75,64,73,71,81,58,70,77,77,74,65,58,59,39,71,74,64,56,37.9,73,95,78,73,96
79,78,74,68,71,73,67,72,58,76,68,73,52,69,81,78,73,68,57,57,33,69,84,61,57,45,74,94,77,76,102
126,155,384,113,110,153,140,153,70,123,86,92,52,103,200,226,112,87,62,80,63,108,135,86,86,70,73,97,115,124,151
134,122,171,110,93,112,103,119,89,111,98,113,73,86,133,112,120,108,89,86,71,105,111,82,67,68,111,98,95,91,113
152,136,180,116,100,157,131,165,115,135,117,128,78,97,146,192,166,152,94,117,72,150,159,95,64,58,108,95,91,114,163