,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,means,c1
Beijing,101,113,112,98,104,99,110,100,88,85,86,81,79,126,134,152,104.25,110.3875
Tianjin,110,115,98,94,84,83,85,75,74,78,76,73,78,155,122,136,96,
Hebei,144,137,124,115,89,92,98,89,84,77,75,76,74,384,171,180,125.5625,c2
Shanxi,147,129,120,115,112,97,99,90,77,82,73,70,68,113,110,116,101.125,91.5703125
Neimenggu,100,111,93,83,70,72,75,73,60,63,60,65,71,110,93,100,81.1875,
Liaoning,88,114,116,96,95,85,84,85,85,81,77,75,73,153,112,157,98.5,c3
Jilin,73,76,76,74,73,74,75,75,74,67,69,71,67,140,103,131,82.375,69.6484375
Heilongjiang,85,93,92,86,82,77,77,77,77,75,76,75,72,153,119,165,92.5625,
Shanghai,69,75,79,73,75,69,67,69,67,64,63,64,58,70,89,115,72.875,c4
Jiangsu,85,95,98,85,85,80,80,79,75,74,81,73,76,123,111,135,89.6875,47.778125
Zhejiang,77,85,89,88,84,80,80,79,80,73,74,71,68,86,98,117,83.0625,
Anhui,78,78,83,76,80,72,74,83,93,81,81,81,73,92,113,128,85.375,
Fujian,52,63,61,64,61,59,59,56,58,54,59,58,52,52,73,78,59.9375,
Jiangxi,76,84,83,75,75,69,69,67,67,66,70,70,69,103,86,97,76.625,
Shandong,75,99,91,100,101,90,83,86,90,87,85,77,81,200,133,146,101.5,
Henan,83,85,97,78,80,80,81,79,74,75,82,77,78,226,112,192,98.6875,
Hubei,91,100,97,91,93,84,86,87,81,78,78,74,73,112,120,166,94.4375,
Hunan,105,109,99,93,96,88,83,79,74,70,65,65,68,87,108,152,90.0625,
Guangdong,60,63,68,76,78,69,70,64,60,58,58,58,57,62,89,94,67.75,
Guangxi,57,57,58,60,65,59,59,58,49,45,57,59,57,80,86,117,63.9375,
Hainan,44,34,31,30,33,39,39,41,41,37,38,39,33,63,71,72,42.8125,
Chongqing,87,96,102,102,97,85,81,79,78,77,75,71,69,108,105,150,91.375,
Sichuan,77,83,87,84,83,89,87,81,81,81,77,74,84,135,111,159,92.0625,
Guizhou,82,75,65,65,68,67,69,68,68,64,63,64,61,86,82,95,71.375,
Yunnan,58,57,55,67,69,67,71,65,58,58,61,56,57,86,67,64,63.5,
Xizang,52,59,55,55,45,59,54,51,45,46,44,37.9,45,70,68,58,52.74375,
Shanxi2,129,120,115,112,95,87,82,75,79,80,74,73,74,73,111,108,92.9375,
Gansu,147,114,147,115,114,109,129,90,94,101,109,95,94,97,98,95,109.25,
Qinghai,103,127,92,98,89,82,93,83,84,96,89,78,77,115,95,91,93.25,
Ningxia,75,104,83,82,78,72,75,72,69,72,72,73,76,124,91,114,83.25,
Xinjiang,125,138,118,86,94,90,112,99,104,102,95,96,102,151,113,163,111.75,